event,ML_event_mean,ML_event_median,ML_event_std,n_station,distance_min_km,distance_max_km,distance_mean_km,distance_median_km,header_ML_mean,header_ML_median,amplitude_h_nm_mean,ML_formula,ML_event_std_filled0,ML_event_std_error,ML_event_mean_minus_header,ML_event_median_minus_header,abs_ML_event_mean_minus_header
20110428020153_M3.3,3.2721749254692165,3.283294387041127,0.1827979820783138,4,34.259159088134766,99.13928985595703,68.6639757156372,70.62872695922852,3.299999952316284,3.299999952316284,2482.892047066402,SEISAN_HUTTON_NM,0.1827979820783138,0.0913989910391569,-0.02782502684706767,-0.01670556527515732,0.02782502684706767
20110629082638_M3.4,3.3179076932500684,3.2126611840162775,0.37157322643269525,5,63.385108947753906,262.3595886230469,150.32477416992188,130.43495178222656,3.4000000953674316,3.4000000953674316,745.5597516959433,SEISAN_HUTTON_NM,0.37157322643269525,0.16617259858448563,-0.08209240211736324,-0.1873389113511541,0.08209240211736324
20110803060621_M3.2,2.98832321352789,2.8458856354890507,0.3824189413606215,4,66.33700561523438,223.50332641601562,142.4472885131836,139.9744110107422,3.200000047683716,3.200000047683716,371.70932366818033,SEISAN_HUTTON_NM,0.3824189413606215,0.19120947068031074,-0.21167683415582594,-0.3541144121946651,0.21167683415582594
20111012043216_M3.3,3.421569106089434,3.5001128176630267,0.46767962200803337,9,79.05088806152344,287.8874816894531,180.46414862738715,178.6377716064453,3.299999952316284,3.299999952316284,665.0119631712225,SEISAN_HUTTON_NM,0.46767962200803337,0.1558932073360111,0.12156915377314981,0.20011286534674255,0.12156915377314981
20111102113319_M3.2,4.037155562267882,4.037155562267882,0.8255402126514231,2,273.3357238769531,279.9988098144531,276.6672668457031,276.6672668457031,3.200000047683716,3.200000047683716,1812.082230164283,SEISAN_HUTTON_NM,0.8255402126514231,0.5837450825080057,0.8371555145841665,0.8371555145841665,0.8371555145841665
20111106232556_M3.1,2.9145525794249303,2.862603740027178,0.46241426829993126,6,27.097980499267578,231.4886932373047,132.32353655497232,143.58363342285156,3.0999999046325684,3.0999999046325684,724.4537561876592,SEISAN_HUTTON_NM,0.46241426829993126,0.18877983451954505,-0.18544732520763807,-0.23739616460539015,0.18544732520763807
20120904150826_M3.3,3.1012466845737325,3.1012466845737325,0.09989404148329706,2,206.24545288085938,288.0689392089844,247.15719604492188,247.15719604492188,3.299999952316284,3.299999952316284,123.11429965825478,SEISAN_HUTTON_NM,0.09989404148329706,0.07063575413296963,-0.19875326774255164,-0.19875326774255164,0.19875326774255164
20120911085947_M3.0,3.5754338010129283,3.5754338010129283,0.006098147108301834,2,141.77197265625,234.18983459472656,187.98090362548828,187.98090362548828,3.0,3.0,722.8210916700434,SEISAN_HUTTON_NM,0.006098147108301834,0.004312041172953362,0.5754338010129283,0.5754338010129283,0.5754338010129283
20120929154607_M3.0,3.293569349440676,3.293569349440676,0.25511449598533636,2,111.46259307861328,156.64625549316406,134.05442428588867,134.05442428588867,3.0,3.0,614.4789860491628,SEISAN_HUTTON_NM,0.25511449598533636,0.1803931900902196,0.29356934944067614,0.29356934944067614,0.29356934944067614
20121122203125_M3.4,3.7125499748783053,3.834492977010283,0.3349023453653914,3,104.98532104492188,244.83627319335938,195.3516082763672,236.2332305908203,3.4000000953674316,3.4000000953674316,1397.6442800076275,SEISAN_HUTTON_NM,0.3349023453653914,0.19335595924894575,0.31254987951087365,0.43449288164285127,0.31254987951087365
20121130094018_M3.3,3.357343006977668,3.357343006977668,0.8944245631673438,2,37.843631744384766,100.29143524169922,69.06753349304199,69.06753349304199,3.299999952316284,3.299999952316284,2834.288919501738,SEISAN_HUTTON_NM,0.8944245631673438,0.6324536738754443,0.057343054661383785,0.057343054661383785,0.057343054661383785
20130726022311_M3.1,3.4028892358568883,3.4028892358568883,,1,135.2460174560547,135.2460174560547,135.2460174560547,135.2460174560547,3.0999999046325684,3.0999999046325684,752.3334457713444,SEISAN_HUTTON_NM,0.0,,0.30288933122431994,0.30288933122431994,0.30288933122431994
20140111055607_M3.0,3.2714613049157206,3.2714613049157206,0.9970458183288055,2,83.04708099365234,157.49668884277344,120.27188491821289,120.27188491821289,3.0,3.0,1244.4246893733239,SEISAN_HUTTON_NM,0.9970458183288055,0.7050178592939889,0.2714613049157206,0.2714613049157206,0.2714613049157206
