event,ML_event_mean,ML_event_std,ML_event_median,n_station,distance_min_km,distance_max_km,distance_mean_km,header_ML_mean
20090819022442_ML3.6,10.599551452381185,0.24378137515720508,10.48298045994043,8,121.00827026367188,284.170166015625,203.0901699066162,3.5999999046325684
20091001115640_ML3.3,10.2902409666274,0.22115818611801477,10.187560281125652,6,165.4374542236328,271.4764709472656,223.73932393391928,3.299999952316284
20091126044603_ML4.1,10.466403149944126,1.3107407355587475,10.901271888198364,14,26.716838836669922,274.6352844238281,149.06174332754952,4.099999904632568
20091126135901_ML3.6,9.747488888559356,1.4431454389436005,10.520783093858045,8,27.736465454101562,231.4261474609375,89.04381012916565,3.5999999046325684
20100102190332_M3.2,10.009057143811095,,10.009057143811095,1,181.56509399414062,181.56509399414062,181.56509399414062,3.200000047683716
20100106232719_M3.4,10.253278427634276,,10.253278427634276,1,132.49429321289062,132.49429321289062,132.49429321289062,3.4000000953674316
20100906041310_M3.4,10.212609367207065,,10.212609367207065,1,212.51515197753906,212.51515197753906,212.51515197753906,3.4000000953674316
20101010204633_M3.3,10.327923036168437,,10.327923036168437,1,167.28494262695312,167.28494262695312,167.28494262695312,3.299999952316284
20110205153128_M3.0,9.527724981965703,0.35465874246746026,9.55532486751047,5,77.1772689819336,203.46197509765625,125.59820861816407,3.0
20110224200421_M3.3,9.890663205987838,0.45605913493684713,9.87998279734039,8,70.66927337646484,280.3385925292969,155.75932121276855,3.299999952316284
20110317181056_M3.1,9.981215175978104,0.4532520678098048,9.901903004420438,7,55.93606948852539,247.9779815673828,154.71344920567103,3.0999999046325684
20110327034351_M3.3,10.273181695621581,,10.273181695621581,1,119.21871948242188,119.21871948242188,119.21871948242188,3.299999952316284
20110425103049_M2.8,9.102131228435569,0.6090810175149608,9.490923840298537,5,36.155517578125,91.00283813476562,64.45111770629883,2.799999952316284
20110428020153_M3.3,9.6485141723673,0.9146719717987231,10.065921874175682,4,34.259159088134766,99.13928985595703,68.6639757156372,3.299999952316284
20110629082638_M3.4,10.082826814392904,0.4450226816394987,10.002852337685471,5,63.385108947753906,262.3595886230469,150.32477416992188,3.4000000953674316
20110803060621_M3.2,9.650838955172446,0.24323856482394055,9.677449747346476,4,66.33700561523438,223.50332641601562,142.4472885131836,3.200000047683716
20111012043216_M3.3,10.10873560122514,0.43741810979178747,10.248686844887693,9,79.05088806152344,287.8874816894531,180.46414862738715,3.299999952316284
20111102113319_M3.2,10.397294694969748,0.4550425489939098,10.397294694969748,2,273.3357238769531,279.9988098144531,276.6672668457031,3.200000047683716
20111106232556_M3.1,9.527656488416392,1.1729000117878126,9.855058109151562,6,27.097980499267578,231.4886932373047,132.32353655497232,3.0999999046325684
20120911085947_M3.0,9.703873314301141,,9.703873314301141,1,234.18983459472656,234.18983459472656,234.18983459472656,3.0
20120929154607_M3.0,9.403993885448411,0.42364942866495947,9.403993885448411,2,111.46259307861328,156.64625549316406,134.05442428588867,3.0
20121122203125_M3.4,10.207369808649178,0.8427175126121165,10.301667897241796,3,104.98532104492188,244.83627319335938,195.3516082763672,3.4000000953674316
20121130094018_M3.3,10.167757505369387,1.1015811641459778,10.167757505369387,2,37.843631744384766,100.29143524169922,69.06753349304199,3.299999952316284
20130726022311_M3.1,9.988010381220601,,9.988010381220601,1,135.2460174560547,135.2460174560547,135.2460174560547,3.0999999046325684
20140111055607_M3.0,10.127017622079837,0.8536193912351343,10.127017622079837,2,83.04708099365234,157.49668884277344,120.27188491821289,3.0
20140209113658_M3.1,8.936049947095972,1.2115626846754468,8.908694550298332,4,23.492643356323242,69.74089050292969,45.86965751647949,3.0999999046325684
20140307080021_M3.1,9.410989428168367,1.1030884601685034,9.616650805790607,5,21.55245018005371,161.338134765625,76.29841117858886,3.0999999046325684
20140331030840_M3.2,10.382312830582794,0.05153763035732691,10.382312830582794,2,97.71015930175781,140.24667358398438,118.9784164428711,3.200000047683716
20140520060702_M3.1,10.12025746136341,0.527623798139081,10.395503685120698,3,62.98465347290039,155.24722290039062,107.82221094767253,3.0999999046325684
20140606211426_M3.1,9.957014729347511,0.4056281323584036,9.979135696407667,6,74.0376205444336,253.5296173095703,175.43069966634116,3.0999999046325684
20140719144216_M3.2,10.618541281892872,0.49489990577599846,10.594461089065183,3,30.264801025390625,163.02752685546875,98.52667744954427,3.200000047683716
20140722111139_M3.4,10.175782687584705,0.04010221067902106,10.175782687584705,2,59.156471252441406,100.28443145751953,79.72045135498047,3.4000000953674316
20140810214133_M3.0,9.40969795310209,1.7947882395046049,10.098710240883118,3,26.870777130126953,159.21177673339844,96.4840482076009,3.0
20141118184219_M3.4,10.449200503522853,0.009771958748930398,10.449200503522853,2,144.9298553466797,199.96664428710938,172.44824981689453,3.4000000953674316
