event,net,sta,ML_station_mean,ML_station_median,ML_station_std,n_horizontal_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_h_nm_max,amplitude_h_nm_mean,amp_window_start,amp_window_end,s_pick,s_source,ML_formula,ML_HHE,ML_HHN,ML_HHZ,amp_nm_HHE,amp_nm_HHN,amp_nm_HHZ,ML_H_mean,ML_H_std,ML_Z,ML_Z_minus_H_mean,ML_station_minus_header,abs_ML_station_minus_header,reject_reason,pass_filter
20070607052959_ML3.3,TW,VTVB,-1.7748519587150142,-1.7748519587150142,0.1220104900768382,2,190.79144287109375,190.79144287109375,190.79144287109375,3.299999952316284,0.003231515836676,0.0027017518615681,2007-06-07T05:32:11.838996,2007-06-07T05:33:21.193295,2007-06-07T05:32:11.838996,header,SEISAN_HUTTON_NM,-1.8611264036242403,-1.688577513805788,-0.1548155425016804,0.0021719878864602,0.003231515836676,0.110450645901172,-1.7748519587150142,0.1220104900768382,-0.1548155425016804,1.6200364162133338,-5.074851911031298,5.074851911031298,residual_outside_bias_centered_2std;Z_minus_H_too_large;,False
20070609121639_ML4.1,IC,KMI,5.402106501664166,5.402106501664166,0.3554469029662367,2,148.80126953125,148.80126953125,148.80126953125,4.099999904632568,112361.5317888174,73837.47754328637,2007-06-09T12:17:20.809001,2007-06-09T12:18:15.899846,2007-06-09T12:17:20.809001,header,SEISAN_HUTTON_NM,5.653445417103349,5.150767586224983,5.290945456844449,112361.5317888174,35313.42329775533,48766.06249764065,5.402106501664166,0.3554469029662367,5.290945456844449,-0.1111610448197168,1.3021065970315977,1.3021065970315977,H_component_std_too_large;,False
20070609121639_ML4.1,TW,VTVB,0.91286247072872,0.91286247072872,0.2298406249537653,2,248.09255981445312,248.09255981445312,248.09255981445312,4.099999904632568,1.09261748349686,0.8047693850458564,2007-06-09T12:17:51.049006,2007-06-09T12:19:22.094040,2007-06-09T12:17:51.049006,header,SEISAN_HUTTON_NM,0.7503406062317586,1.0753843352256816,1.151057354422223,0.5169212865948528,1.09261748349686,1.3005922589538623,0.91286247072872,0.2298406249537653,1.151057354422223,0.2381948836935028,-3.1871374339038483,3.1871374339038483,residual_outside_bias_centered_2std;,False
20070721084559_ML3.0,TW,VTVB,-0.6890728432521361,-0.6890728432521361,0.6251973957327412,2,134.61538696289062,134.61538696289062,134.61538696289062,3.0,0.1679926465868705,0.0949635706885148,2007-07-21T08:47:52.359004,2007-07-21T08:48:40.442591,2007-07-21T08:47:52.359004,header,SEISAN_HUTTON_NM,-1.131154161354927,-0.2469915251493453,-0.5931270080429805,0.0219344947901591,0.1679926465868705,0.0757102689940701,-0.6890728432521361,0.6251973957327412,-0.5931270080429805,0.0959458352091556,-3.689072843252136,3.689072843252136,residual_outside_bias_centered_2std;H_component_std_too_large;,False
20070906185059_ML4.2,TW,VTVB,1.3409319466218133,1.3409319466218133,0.2265866477692955,2,134.83502197265625,134.83502197265625,134.83502197265625,4.199999809265137,9.380666621102948,6.932984835650727,2007-09-06T18:52:27.330000,2007-09-06T18:53:14.290015,2007-09-06T18:52:27.330000,header,SEISAN_HUTTON_NM,1.5011529017858098,1.1807109914578169,1.0037717063809826,9.380666621102948,4.485303050198506,2.9843689061485006,1.3409319466218133,0.2265866477692955,1.0037717063809826,-0.3371602402408307,-2.8590678626433235,2.8590678626433235,residual_outside_bias_centered_2std;,False
20070906185146,TW,VTVB,1.3409319466218133,1.3409319466218133,0.2265866477692955,2,134.83502197265625,134.83502197265625,134.83502197265625,4.199999809265137,9.380666621102948,6.932984835650727,2007-09-06T18:52:27.330000,2007-09-06T18:53:14.290015,2007-09-06T18:52:27.330000,header,SEISAN_HUTTON_NM,1.5011529017858098,1.1807109914578169,1.0037717063809826,9.380666621102948,4.485303050198506,2.9843689061485006,1.3409319466218133,0.2265866477692955,1.0037717063809826,-0.3371602402408307,-2.8590678626433235,2.8590678626433235,residual_outside_bias_centered_2std;,False
20080514114959_ML3.5,IC,KMI,5.22246750877736,5.22246750877736,0.0722320683229882,2,164.9890594482422,164.9890594482422,164.9890594482422,3.5,38934.87267829793,34854.551087361695,2008-05-14T11:50:21.609001,2008-05-14T11:51:22.991706,2008-05-14T11:50:21.609001,header,SEISAN_HUTTON_NM,5.171391723447044,5.273543294107674,5.058692552775537,30774.22949642546,38934.87267829793,23740.399203867004,5.22246750877736,0.0722320683229882,5.058692552775537,-0.1637749560018226,1.7224675087773598,1.7224675087773598,residual_outside_bias_centered_2std;,False
20080807190958_ML3.0,TW,DHVB,3.806693425976664,3.806693425976664,0.4977717842163371,2,92.0758285522461,92.0758285522461,92.0758285522461,3.0,7842.350684161476,4696.459044825064,2008-08-07T19:10:24.679003,2008-08-07T19:10:56.082886,2008-08-07T19:10:24.679003,header,SEISAN_HUTTON_NM,4.158671230079363,3.454715621873965,3.3432365107354114,7842.350684161476,1550.5674054886515,1199.5311744700653,3.806693425976664,0.4977717842163371,3.3432365107354114,-0.4634569152412524,0.8066934259766638,0.8066934259766638,H_component_std_too_large;,False
20080807190958_ML3.0,TW,SPVB,3.6479134666361808,3.6479134666361808,0.4558545455985065,2,169.0318603515625,169.0318603515625,169.0318603515625,3.0,1852.4051376958705,1136.111201834412,2008-08-07T19:10:44.993817,2008-08-07T19:11:47.386907,2008-08-07T19:10:44.993817,theory,SEISAN_HUTTON_NM,3.970251307063597,3.325575626208765,3.824746610239605,1852.4051376958705,419.8172659729536,1325.046990434066,3.6479134666361808,0.4558545455985065,3.824746610239605,0.176833143603424,0.6479134666361808,0.6479134666361808,H_component_std_too_large;,False
20080807190958_ML3.0,TW,TTVB,2.426659985220233,2.426659985220233,0.3485821046485454,2,57.470314025878906,57.470314025878906,57.470314025878906,3.0,502.9716408125339,332.3104946945375,2008-08-07T19:10:13.389002,2008-08-07T19:10:33.012543,2008-08-07T19:10:13.389002,header,SEISAN_HUTTON_NM,2.1801752152229676,2.673144755217498,2.865434776801112,161.64934857654106,502.9716408125339,783.1293855087981,2.426659985220233,0.3485821046485454,2.865434776801112,0.438774791580879,-0.5733400147797671,0.5733400147797671,H_component_std_too_large;,False
20080914233801_ML3.8,TW,TGVB,3.919431940886919,3.919431940886919,0.3299381826838963,2,227.5344085693359,227.5344085693359,227.5344085693359,3.799999952316284,1571.7055058232029,1054.225323574341,2008-09-14T23:38:50.838996,2008-09-14T23:40:14.688606,2008-09-14T23:38:50.838996,header,SEISAN_HUTTON_NM,4.152733467235068,3.68613041453877,3.818148170844117,1571.7055058232029,536.7451413254789,727.4210729516177,3.919431940886919,0.3299381826838963,3.818148170844117,-0.1012837700428024,0.1194319885706347,0.1194319885706347,H_component_std_too_large;,False
20081017213707_ML4.1,TW,DBVB,4.749282651073431,4.749282651073431,0.3770990096870446,2,232.25961303710935,232.25961303710935,232.25961303710935,4.099999904632568,10983.239260338163,7100.048704514454,2008-10-17T21:38:52.469001,2008-10-17T21:40:17.338742,2008-10-17T21:38:52.469001,header,SEISAN_HUTTON_NM,5.015931918001872,4.48263338414499,4.749863478987083,10983.239260338163,3216.8581486907447,5951.987430897761,4.749282651073431,0.3770990096870446,4.749863478987083,0.0005808279136525,0.6492827464408624,0.6492827464408624,H_component_std_too_large;,False
