EVENT,filename,distance,maxdisp,LogA0Huton83,LogA0Le08,LogA0Nguyen11,MLHuton83,MLLe08,MLNguyen11
20200101_040531_M3.2,MLVB.HHN..SAC,142.66116333007812,12117795.534520304,-3.2519089935729064,-3.256057163778828,-3.2889693828034483,7.654332613875791,13.517480784081714,7.11569190297244
20200101_040531_M3.2,MLVB.HHZ..SAC,142.66116333007812,2979114.769502151,-3.2519089935729064,-3.256057163778828,-3.2889693828034483,7.044996228174776,12.908144398380697,7.224123830019616
20200101_040531_M3.2,VCVB.HHE..SAC,186.18186950683594,5899458.069077882,-3.462514232791572,-3.474738197087641,-3.511058350513871,7.552326351481373,13.423550315777442,7.484740269017854
20200101_040531_M3.2,VCVB.HHN..SAC,186.18186950683594,13013924.795451721,-3.462514232791572,-3.474738197087641,-3.511058350513871,7.895922525506398,13.767146489802466,7.467274819757261
20200101_040531_M3.2,VCVB.HHZ..SAC,186.18186950683594,1930272.0157689587,-3.462514232791572,-3.474738197087641,-3.511058350513871,7.067132747303603,12.938356711599669,7.52612456452502
20200101_040531_M3.2,VTVB.HHE..SAC,141.16099548339844,18064171.86759691,-3.2439776122196555,-3.2479030867373773,-3.2802608773955417,7.819795668819696,13.682721143337417,7.375116167479222
20200101_040531_M3.2,VTVB.HHN..SAC,141.16099548339844,10993807.198942184,-3.2439776122196555,-3.2479030867373773,-3.2802608773955417,7.604125728588706,13.467051203106427,7.341373931313521
20200101_040531_M3.2,VTVB.HHZ..SAC,141.16099548339844,12553413.865336295,-3.2439776122196555,-3.2479030867373773,-3.2802608773955417,7.661739459252784,13.524664933770506,7.596315136384147
20200103_124019_M3.1,CBVB.HHE..SAC,249.80364990234375,4070131.756849693,-3.724463543669246,-3.752300025404235,-3.7637276284537022,7.653072011947682,13.539908493682672,7.927782920347152
20200103_124019_M3.1,CBVB.HHN..SAC,249.80364990234375,7028643.7320393305,-3.724463543669246,-3.752300025404235,-3.7637276284537022,7.890335074020914,13.777171555755903,7.956211448356363
20200103_124019_M3.1,CBVB.HHZ..SAC,249.80364990234375,3770175.652489609,-3.724463543669246,-3.752300025404235,-3.7637276284537022,7.6198251281269975,13.506661609861988,7.793435990968597
20200103_124019_M3.1,HGVB.HHE..SAC,126.8994369506836,3554165.657711793,-3.1656801974491757,-3.1677286633845108,-3.1929315992908753,7.035417863617798,12.896466329553133,7.666053462581603
20200103_124019_M3.1,HGVB.HHN..SAC,126.8994369506836,3539173.22538366,-3.1656801974491757,-3.1677286633845108,-3.1929315992908753,7.033582017217837,12.894630483153172,7.700949289711263
20200103_124019_M3.1,HGVB.HHZ..SAC,126.8994369506836,1649271.8513024524,-3.1656801974491757,-3.1677286633845108,-3.1929315992908753,6.701972444233627,12.563020910168962,7.689113728548142
20200103_124019_M3.1,MLVB.HHE..SAC,157.57521057128906,5494733.0158411795,-3.3280287127123414,-3.3346171668116895,-3.3712650403847886,7.386975308004365,13.252563762103714,7.40190523525342
20200103_124019_M3.1,MLVB.HHN..SAC,157.57521057128906,6853636.128376451,-3.3280287127123414,-3.3346171668116895,-3.3712650403847886,7.4829497559586375,13.348538210057985,7.310184852629559
20200103_124019_M3.1,MLVB.HHZ..SAC,157.57521057128906,901581.5454443138,-3.3280287127123414,-3.3346171668116895,-3.3712650403847886,6.602033726227626,12.467622180326973,7.390589077538479
20200103_124019_M3.1,SPVB.HHE..SAC,100.75894927978516,70285222.01599625,-3.0050792434403886,-3.005103497670564,-3.006077811856797,8.170943264454882,14.029967518685059,7.225006996944883
20200103_124019_M3.1,SPVB.HHN..SAC,100.75894927978516,23763239.956696864,-3.0050792434403886,-3.005103497670564,-3.006077811856797,7.699984896895453,13.559009151125625,7.41947817304661
20200103_124019_M3.1,SPVB.HHZ..SAC,100.75894927978516,29805360.23614187,-3.0050792434403886,-3.005103497670564,-3.006077811856797,7.798373618645414,13.657397872875588,7.594987882481259
20200103_124019_M3.1,TGVB.HHE..SAC,194.9940643310547,9643595.896298368,-3.5014625261830665,-3.5156280058247367,-3.5502343721396534,7.804701529663188,13.677867009304858,6.464577529259094
20200103_124019_M3.1,TGVB.HHN..SAC,194.9940643310547,1463057.5665972151,-3.5014625261830665,-3.5156280058247367,-3.5502343721396534,6.985723940731928,12.858889420373599,6.6694902614175895
20200103_124019_M3.1,TGVB.HHZ..SAC,194.9940643310547,139333.89173488892,-3.5014625261830665,-3.5156280058247367,-3.5502343721396534,5.96451929374247,11.83768477338414,6.687588483510385
20200103_124019_M3.1,VCVB.HHE..SAC,205.70042419433594,1255269.7286790183,-3.5474648596252445,-3.564098404797628,-3.595765429507365,6.965201915394873,12.840835460567257,7.943193028125906
20200103_124019_M3.1,VCVB.HHN..SAC,205.70042419433594,8114155.806766841,-3.5474648596252445,-3.564098404797628,-3.595765429507365,7.775708202329197,13.651341747501581,7.7853118862462924
20200103_124019_M3.1,VCVB.HHZ..SAC,205.70042419433594,1309085.4093631147,-3.5474648596252445,-3.564098404797628,-3.595765429507365,6.983432842008732,12.859066387181114,7.6510290552915485
20200103_124019_M3.1,VTVB.HHE..SAC,157.7566375732422,9836768.17295007,-3.3289263266769202,-3.3355468178486927,-3.372221681615766,7.640778762994795,13.506399254166567,7.62244645151773
20200103_124019_M3.1,VTVB.HHN..SAC,157.7566375732422,24095904.304510895,-3.3289263266769202,-3.3355468178486927,-3.372221681615766,8.029869556425556,13.895490047597328,7.678453646490723
20200103_124019_M3.1,VTVB.HHZ..SAC,157.7566375732422,3948018.653503671,-3.3289263266769202,-3.3355468178486927,-3.372221681615766,7.244305522623499,13.10992601379527,7.807476612011664
20200122_212627_M4.1,HBVB.HHE..SAC,432.91455078125,55860582.04443995,-4.335614924351738,-4.420219180331355,-4.2671387831793295,9.401720380911346,15.345324636890961,8.803419390427711
20200122_212627_M4.1,HBVB.HHN..SAC,432.91455078125,717494.2715683099,-4.335614924351738,-4.420219180331355,-4.2671387831793295,7.510433362390236,13.454037618369853,11.79157673575949
20200122_212627_M4.1,HBVB.HHZ..SAC,432.91455078125,3682943.6485882,-4.335614924351738,-4.420219180331355,-4.2671387831793295,8.220809998271973,14.16441425425159,8.53339400547698
20200122_212627_M4.1,HGVB.HHE..SAC,299.6734619140625,7672788.56361431,-3.9064624393369067,-3.948470385742496,-3.925211277570671,8.11041566999942,14.011423616405008,8.169265626127617
20200122_212627_M4.1,HGVB.HHN..SAC,299.6734619140625,9717592.080242807,-3.9064624393369067,-3.948470385742496,-3.925211277570671,8.213021103870659,14.114029050276248,8.478414429006184
20200122_212627_M4.1,HGVB.HHZ..SAC,299.6734619140625,33101893.45925332,-3.9064624393369067,-3.948470385742496,-3.925211277570671,8.74531527587354,14.646323222279129,8.163608690751941
20200122_212627_M4.1,MCVB.HHE..SAC,381.0425720214844,1855734.0402882632,-4.17605104610183,-4.243449790072624,-4.14579432454088,7.763566780316694,13.689965524287489,7.476005109112407
20200122_212627_M4.1,MCVB.HHN..SAC,381.0425720214844,7378926.887807209,-4.17605104610183,-4.243449790072624,-4.14579432454088,8.363044253373303,14.2894429973441,7.905613201915706
20200122_212627_M4.1,MCVB.HHZ..SAC,381.0425720214844,1875133.5293653815,-4.17605104610183,-4.243449790072624,-4.14579432454088,7.768083245633152,13.694481989603945,7.673939402793986
20200122_212627_M4.1,MLVB.HHE..SAC,180.92520141601562,9755095.81475282,-3.438772592581156,-3.449880515230358,-3.4868924693954555,7.747004131982024,13.617112054631226,7.99554336991854
20200122_212627_M4.1,MLVB.HHN..SAC,180.92520141601562,15795424.36109347,-3.438772592581156,-3.449880515230358,-3.4868924693954555,7.9563038907682255,13.82641181341743,7.88675647744228
20200122_212627_M4.1,MLVB.HHZ..SAC,180.92520141601562,3342292.024146432,-3.438772592581156,-3.449880515230358,-3.4868924693954555,7.281816985156702,13.151924907805904,7.952513225249659
20200122_212627_M4.1,SPVB.HHE..SAC,206.6177978515625,52291781.22707314,-3.551343816562847,-3.568194038617981,-3.599568390540557,8.588777252118138,14.46462747417327,8.174363344709317
20200122_212627_M4.1,SPVB.HHN..SAC,206.6177978515625,37019045.2881815,-3.551343816562847,-3.568194038617981,-3.599568390540557,8.438769030779271,14.314619252834405,7.985281884107788
20200122_212627_M4.1,SPVB.HHZ..SAC,206.6177978515625,55696046.4214074,-3.551343816562847,-3.568194038617981,-3.599568390540557,8.616168184477935,14.49201840653307,8.058236450305454
20200122_212627_M4.1,TGVB.HHE..SAC,237.4013671875,7901484.559249734,-3.6764749534279564,-3.701013085472807,-3.7192934515939924,7.89318364918913,13.77672178123398,7.482122004783083
20200122_212627_M4.1,TGVB.HHN..SAC,237.4013671875,5615683.007773887,-3.6764749534279564,-3.701013085472807,-3.7192934515939924,7.744877538329611,13.628415670374462,7.219117947433574
20200122_212627_M4.1,TGVB.HHZ..SAC,237.4013671875,576747.940891193,-3.6764749534279564,-3.701013085472807,-3.7192934515939924,6.756461006103205,12.639999138148056,7.338282371958927
20200122_212627_M4.1,VCVB.HHE..SAC,322.4570617675781,4278079.712469056,-3.9848476472714154,-4.033724769733435,-3.991520482372226,7.935096519690871,13.842973642152892,8.274301150621351
20200122_212627_M4.1,VCVB.HHN..SAC,322.4570617675781,3028453.0229181084,-3.9848476472714154,-4.033724769733435,-3.991520482372226,7.785068488587337,13.692945611049353,8.193026849425463
20200122_212627_M4.1,VCVB.HHZ..SAC,322.4570617675781,1272998.7838223982,-3.9848476472714154,-4.033724769733435,-3.991520482372226,7.408675636015822,13.31655275847784,8.093439316052649
20200122_212627_M4.1,VTVB.HHE..SAC,310.43426513671875,5489652.461508491,-3.9438070746296883,-3.9890326006709467,-3.957035641434133,8.00235192566873,13.906577451709989,8.266772240543423
20200122_212627_M4.1,VTVB.HHN..SAC,310.43426513671875,38834137.272570185,-3.9438070746296883,-3.9890326006709467,-3.957035641434133,8.85202073607276,14.756246262114015,8.161779474122932
20200122_212627_M4.1,VTVB.HHZ..SAC,310.43426513671875,9178439.59874404,-3.9438070746296883,-3.9890326006709467,-3.957035641434133,8.225575928896676,14.129801454937933,8.266750956293283
20200219_092702_M3.3,BGVB.HHE..SAC,186.14308166503906,9759457.58480898,-3.4623404828321513,-3.474556093190784,-3.5108822843922782,7.770766163770311,13.641981774128942,7.419045484447826
20200219_092702_M3.3,BGVB.HHN..SAC,186.14308166503906,20876622.52742214,-3.4623404828321513,-3.474556093190784,-3.5108822843922782,8.101000721590074,13.972216331948708,7.759811418111047
20200219_092702_M3.3,BGVB.HHZ..SAC,186.14308166503906,2656504.1306281267,-3.4623404828321513,-3.474556093190784,-3.5108822843922782,7.205650978367805,13.076866588726437,7.858758484002081
20200219_092702_M3.3,BKVB.HHE..SAC,122.4649658203125,6899324.522486531,-3.1401519562414966,-3.14171479990695,-3.1639238297771053,7.297958529512551,13.158521373178006,7.5615858009992465
20200219_092702_M3.3,BKVB.HHN..SAC,122.4649658203125,1563043.8321336394,-3.1401519562414966,-3.14171479990695,-3.1639238297771053,6.653123113266988,12.513685956932443,7.723411511574868
20200219_092702_M3.3,BKVB.HHZ..SAC,122.4649658203125,856450.9412933855,-3.1401519562414966,-3.14171479990695,-3.1639238297771053,6.391854447260741,12.252417290926195,7.4826130997248494
20200219_092702_M3.3,CB01.HHE..SAC,5.0779523849487305,42762720.01094862,-1.383911702930733,-1.4621718690247905,-0.7023356233486795,6.3339770245417455,12.271237190635802,6.882367400743476
20200219_092702_M3.3,CB01.HHN..SAC,5.0779523849487305,45154561.1215752,-1.383911702930733,-1.4621718690247905,-0.7023356233486795,6.357613328452526,12.294873494546582,6.943386516399324
20200219_092702_M3.3,CB01.HHZ..SAC,5.0779523849487305,16059218.992607545,-1.383911702930733,-1.4621718690247905,-0.7023356233486795,5.908636123359786,11.845896289453842,6.896479894156528
20200219_092702_M3.3,CBVB.HHE..SAC,61.307552337646484,39461727.72516853,-2.6910117890112693,-2.6939227505808114,-2.611701946078849,7.606187884754631,13.468098846324173,7.937593042065117
20200219_092702_M3.3,CBVB.HHN..SAC,61.307552337646484,77536729.90640952,-2.6910117890112693,-2.6939227505808114,-2.611701946078849,7.899519269799702,13.761430231369243,7.937627901850314
20200219_092702_M3.3,CBVB.HHZ..SAC,61.307552337646484,3750092.0188135314,-2.6910117890112693,-2.6939227505808114,-2.611701946078849,6.58405371347836,12.4459646750479,7.717242785847969
20200219_092702_M3.3,HGVB.HHE..SAC,177.97509765625,1489023.6779717305,-3.4252716908700718,-3.4357679327905672,-3.4730531243178655,6.917173294687194,12.786669536607688,7.122095758404042
20200219_092702_M3.3,HGVB.HHN..SAC,177.97509765625,18979366.764029447,-3.4252716908700718,-3.4357679327905672,-3.4730531243178655,8.022553409210266,13.89204965113076,6.934551651100884
20200219_092702_M3.3,HGVB.HHZ..SAC,177.97509765625,433567.42291726876,-3.4252716908700718,-3.4357679327905672,-3.4730531243178655,6.381328333914293,12.25082457583479,7.244861003316972
20200219_092702_M3.3,LSVB.HHE..SAC,116.66828918457031,5312102.535179595,-3.105820707249074,-3.106828411288978,-3.1244987020527475,7.1500871565218596,13.010094860561763,7.2840959700401555
20200219_092702_M3.3,LSVB.HHN..SAC,116.66828918457031,10240164.475397948,-3.105820707249074,-3.106828411288978,-3.1244987020527475,7.4351276394928,13.295135343532703,7.519650293557289
20200219_092702_M3.3,LSVB.HHZ..SAC,116.66828918457031,757974.377953163,-3.105820707249074,-3.106828411288978,-3.1244987020527475,6.304475232535971,12.164482936575876,7.377885175040518
20200219_092702_M3.3,VCVB.HHE..SAC,264.4635009765625,7864954.541674719,-3.7796619914012384,-3.8115236484796204,-3.8138588730152643,7.994358208207094,13.885219865285476,7.299296354091565
20200219_092702_M3.3,VCVB.HHN..SAC,264.4635009765625,1815535.511997944,-3.7796619914012384,-3.8115236484796204,-3.8138588730152643,7.357666739562799,13.24852839664118,7.068406950124238
20200219_092702_M3.3,VCVB.HHZ..SAC,264.4635009765625,6147251.846794964,-3.7796619914012384,-3.8115236484796204,-3.8138588730152643,7.887342997499614,13.778204654577996,7.22749387021382
20200219_092702_M3.3,VTVB.HHE..SAC,201.2666473388672,39988038.9017808,-3.5285806750810202,-3.544178326708651,-3.5771709440581305,8.449510781014514,14.324108432642145,7.631669090694807
