event,ML_mean,ML_std,ML_median,n_component,n_station,distance_min,distance_max,header_ML_mean
20190128081000_ML3.0,3.270383988423058,0.42751834161366836,3.2843721760117477,6,2,45.17228317260742,124.50818634033203,3.0
20190212123259_ML3.5,4.087399666752002,0.4628041624888224,4.260158517109991,15,5,141.65846252441406,238.4384307861328,3.5
20190212144618_ML4.2,5.135175283122534,0.2524431587465811,5.111570145293623,18,6,199.40333557128906,572.3983764648438,4.199999809265137
20190213092840_ML3.6,4.312692122167336,0.4772865710476625,4.41197812178043,15,5,163.07643127441406,293.8431396484375,3.5999999046325684
20190217072114_ML3.3,4.232128344083753,0.1028269192929307,4.257252034179892,9,3,126.64521026611328,178.1627197265625,3.299999952316284
20190217083632_ML3.5,4.054692635361383,0.520051498491948,4.248936556308225,15,5,142.58990478515625,240.13121032714844,3.5
20190223183754_ML3.6,4.207938329902735,0.5353484782562875,4.4245479077547465,12,4,136.32382202148438,233.46014404296875,3.5999999046325684
20190329060221_ML3.6,4.177541840065325,0.6197403759278464,4.557233393767577,9,3,148.54820251464844,257.22802734375,3.5999999046325684
20190331071001_ML3.9,4.544473395160741,0.6056884615559929,4.689597954108248,9,3,142.32411193847656,230.31369018554688,3.9000000953674316
20190422182100_ML3.7,4.331776082280961,0.3326232894190108,4.40209258643001,21,7,189.9635009765625,305.66558837890625,3.700000047683716
20190516163614_ML3.3,3.9743564142387617,0.5932866883050791,4.115789540094077,9,3,85.1279067993164,173.78810119628906,3.299999952316284
20190521104755_ML4.0,3.50717970960765,1.343604548812187,4.340232743333879,21,7,26.71355438232422,237.20010375976562,4.0
20190522235118_ML3.6,3.6966066368239723,0.1355028895544343,3.6752422038002064,9,3,146.9275360107422,242.38229370117188,3.5999999046325684
20190527233039_ML3.4,4.357473859753006,0.1100702139070397,4.33021854142227,6,2,166.81211853027344,179.79534912109375,3.4000000953674316
20190622104124_ML3.7,4.073726752599844,0.9388991076831994,4.603448122080776,9,3,82.80500030517578,110.37771606445312,3.700000047683716
20190701111450_ML3.3,2.5834012098677057,0.7309223079475753,2.919506394026269,9,3,34.02095413208008,61.81903839111328,3.299999952316284
