event,net,sta,comp,distance,header_ML,ML,origin_time,p_pick,p_source,s_pick,s_source,surface_pick,amp_window_start,amp_window_end,peak_time,amplitude_raw_velocity,amplitude_scaled_mm,peak_signed,amp_scale,amp_scale_mode,event_average_ML,reference_ML,reference_ML_source,ML_diff_calc_minus_ref
20060106182808,TW,MCVB,HHE,266.3656921386719,3.5999999046325684,4.2113210675031745,2006-01-06T18:28:25.338000,2006-01-06T18:29:05.768000,header,2006-01-06T18:29:44.637995,header,2006-01-06T18:31:22.915128,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:48.268000,2658.3307241905854,2.6583307241905856,-2658.3307241905854,0.001,auto,4.570865499248653,3.5999999046325684,header,0.6113211628706061
20060106182808,TW,MCVB,HHN,266.3656921386719,3.5999999046325684,4.267162360194808,2006-01-06T18:28:25.338000,2006-01-06T18:29:05.768000,header,2006-01-06T18:29:44.637995,header,2006-01-06T18:31:22.915128,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:46.768000,3023.084617477145,3.023084617477145,3023.084617477145,0.001,auto,4.570865499248653,3.5999999046325684,header,0.6671624555622397
20060106182808,TW,MCVB,HHZ,266.3656921386719,3.5999999046325684,4.480529461754402,2006-01-06T18:28:25.338000,2006-01-06T18:29:05.768000,header,2006-01-06T18:29:44.637995,header,2006-01-06T18:31:22.915128,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:44.708000,4941.029024283814,4.9410290242838135,-4941.029024283814,0.001,auto,4.570865499248653,3.5999999046325684,header,0.8805295571218332
20060106182808,TW,TGVB,HHE,115.49214172363281,3.5999999046325684,4.872742009118761,2006-01-06T18:27:59.998000,2006-01-06T18:28:19.218001,header,2006-01-06T18:28:33.898001,header,2006-01-06T18:29:16.992761,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:45.388000,59433.13761361412,59.43313761361412,59433.13761361412,0.001,auto,4.570865499248653,3.5999999046325684,header,1.272742104486193
20060106182808,TW,TGVB,HHN,115.49214172363281,3.5999999046325684,4.952831586244546,2006-01-06T18:27:59.998000,2006-01-06T18:28:19.218001,header,2006-01-06T18:28:33.898001,header,2006-01-06T18:29:16.992761,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:45.088000,71469.08720963643,71.46908720963643,-71469.08720963643,0.001,auto,4.570865499248653,3.5999999046325684,header,1.3528316816119776
20060106182808,TW,TGVB,HHZ,115.49214172363281,3.5999999046325684,4.6360349673800005,2006-01-06T18:27:59.998000,2006-01-06T18:28:19.218001,header,2006-01-06T18:28:33.898001,header,2006-01-06T18:29:16.992761,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:44.978000,34460.50333624316,34.46050333624316,34460.50333624316,0.001,auto,4.570865499248653,3.5999999046325684,header,1.0360350627474322
20060106182808,TW,TTVB,HHE,212.66404724121094,3.5999999046325684,4.330408653489466,2006-01-06T18:28:15.188000,2006-01-06T18:28:47.897999,header,2006-01-06T18:29:11.987996,header,2006-01-06T18:30:36.964032,2006-01-06T18:29:11.987996,2006-01-06T18:30:34.964032,2006-01-06T18:29:13.958000,5671.960284717677,5.671960284717676,-5671.960284717677,0.001,auto,4.570865499248653,3.5999999046325684,header,0.730408748856898
20060106182808,TW,TTVB,HHN,212.66404724121094,3.5999999046325684,4.5348838679233,2006-01-06T18:28:15.188000,2006-01-06T18:28:47.897999,header,2006-01-06T18:29:11.987996,header,2006-01-06T18:30:36.964032,2006-01-06T18:29:11.987996,2006-01-06T18:30:34.964032,2006-01-06T18:29:18.478000,9082.562512747245,9.082562512747245,9082.562512747245,0.001,auto,4.570865499248653,3.5999999046325684,header,0.9348839632907318
20060106182808,TW,TTVB,HHZ,212.66404724121094,3.5999999046325684,4.237010091024077,2006-01-06T18:28:15.188000,2006-01-06T18:28:47.897999,header,2006-01-06T18:29:11.987996,header,2006-01-06T18:30:36.964032,2006-01-06T18:29:11.987996,2006-01-06T18:30:34.964032,2006-01-06T18:29:13.358000,4574.405063819668,4.574405063819667,4574.405063819668,0.001,auto,4.570865499248653,3.5999999046325684,header,0.6370101863915085
20060112010459_ML4.8,TW,DBVB,HHE,248.77407836914062,4.800000190734863,2.8802787797684832,2006-01-12T01:05:43.088000,2006-01-12T01:06:21.098002,header,2006-01-12T01:06:55.467998,header,2006-01-12T01:08:28.937386,2006-01-12T01:06:55.467998,2006-01-12T01:08:26.937386,2006-01-12T01:07:00.238000,144461.487296033,0.144461487296033,-144461.487296033,1e-06,auto,4.007320477948166,4.800000190734863,header,-1.91972141096638
20060112010459_ML4.8,TW,DBVB,HHN,248.77407836914062,4.800000190734863,2.8904083811319743,2006-01-12T01:05:43.088000,2006-01-12T01:06:21.098002,header,2006-01-12T01:06:55.467998,header,2006-01-12T01:08:28.937386,2006-01-12T01:06:55.467998,2006-01-12T01:08:26.937386,2006-01-12T01:06:56.528000,147870.54827901325,0.14787054827901325,-147870.54827901325,1e-06,auto,4.007320477948166,4.800000190734863,header,-1.909591809602889
20060112010459_ML4.8,TW,DBVB,HHZ,248.77407836914062,4.800000190734863,5.531441161864596,2006-01-12T01:05:43.088000,2006-01-12T01:06:21.098002,header,2006-01-12T01:06:55.467998,header,2006-01-12T01:08:28.937386,2006-01-12T01:06:55.467998,2006-01-12T01:08:26.937386,2006-01-12T01:07:05.998000,64701.5170877218,64.7015170877218,64701.5170877218,0.001,auto,4.007320477948166,4.800000190734863,header,0.7314409711297323
20060112010459_ML4.8,TW,LCVB,HHE,203.63694763183594,4.800000190734863,2.95442533865525,2006-01-12T01:05:34.878000,2006-01-12T01:06:07.227998,header,2006-01-12T01:06:28.188005,header,2006-01-12T01:07:50.635965,2006-01-12T01:06:28.188005,2006-01-12T01:07:48.635965,2006-01-12T01:06:35.578000,260447.80720636895,0.26044780720636895,-260447.80720636895,1e-06,auto,4.007320477948166,4.800000190734863,header,-1.8455748520796131
20060112010459_ML4.8,TW,LCVB,HHN,203.63694763183594,4.800000190734863,2.8591186955787014,2006-01-12T01:05:34.878000,2006-01-12T01:06:07.227998,header,2006-01-12T01:06:28.188005,header,2006-01-12T01:07:50.635965,2006-01-12T01:06:28.188005,2006-01-12T01:07:48.635965,2006-01-12T01:06:33.768000,209128.90439758883,0.20912890439758883,-209128.90439758883,1e-06,auto,4.007320477948166,4.800000190734863,header,-1.940881495156162
20060112010459_ML4.8,TW,LCVB,HHZ,203.63694763183594,4.800000190734863,2.5776804286933004,2006-01-12T01:05:34.878000,2006-01-12T01:06:07.227998,header,2006-01-12T01:06:28.188005,header,2006-01-12T01:07:50.635965,2006-01-12T01:06:28.188005,2006-01-12T01:07:48.635965,2006-01-12T01:06:31.228000,109389.53982288003,0.10938953982288002,-109389.53982288003,1e-06,auto,4.007320477948166,4.800000190734863,header,-2.222319762041563
